Theta,Phi,Psi,Px,Py,Pz,ActuatorLengths_1,ActuatorLengths_2,ActuatorLengths_3,ActuatorLengths_4,ActuatorLengths_5,ActuatorLengths_6
-45,-45,-15,-2.5,1.5,5.5,9.210684934,6.050230504,3.407043853,3.973469195,8.012413112,10.65358949
-45,-45,-15,-2.5,1.5,9.5,12.94650533,9.876062476,7.3740949,7.701823632,11.0162562,13.64010667
-45,-45,-15,-0.5,-2.5,-2.5,4.712318266,6.128926359,7.554992681,5.401675301,2.517713193,3.763532527
-45,-45,-15,-0.5,-2.5,1.5,5.858418031,5.803412796,5.60958584,3.224600974,1.935487837,5.145085088
-45,-45,-15,-0.5,-2.5,5.5,8.916372662,7.614125655,6.630702854,4.659473797,5.909320871,8.590181449
-45,-45,-15,-0.5,-2.5,9.5,12.5940579,10.87847381,9.318491138,8.087764253,9.936795848,12.39840303
-45,-45,-15,-0.5,-0.5,-2.5,3.617811256,4.65964761,6.150469119,5.187279507,3.50112468,4.243033996
-45,-45,-15,-0.5,-0.5,1.5,5.166381155,3.938553311,4.14503573,2.50910849,3.278713019,5.726374858
-45,-45,-15,-0.5,-0.5,5.5,8.474148496,6.46047718,5.106142046,4.162035204,6.146000328,9.114460773
-45,-45,-15,-0.5,-0.5,9.5,12.04060261,9.76400947,8.212668666,7.590116471,10.12145304,12.48650154
-45,-45,-15,-0.5,1.5,-2.5,3.730215446,3.275895431,5.437182696,5.659363174,5.118061302,5.517596927
-45,-45,-15,-0.5,1.5,1.5,5.105850374,2.130631501,3.037092585,3.340007467,4.996135774,6.788293624
-45,-45,-15,-0.5,1.5,5.5,8.513379836,5.53247067,4.356153295,4.674913623,7.337446001,9.326259452
-45,-45,-15,-0.5,1.5,9.5,12.53680002,9.318680294,7.730371583,8.116034632,10.84548644,12.89220593
-45,-45,-15,1.5,-2.5,-2.5,3.371353801,6.519806271,8.691263006,6.610045228,2.701241187,1.724336124
-45,-45,-15,1.5,-2.5,1.5,4.932053095,5.95768303,6.971813634,4.892242968,2.184915516,4.234962857
-45,-45,-15,1.5,-2.5,5.5,8.221611207,7.916690922,7.671131037,5.829608554,5.881226232,8.09044519
-45,-45,-15,1.5,-2.5,9.5,11.73165139,11.18827887,10.36836448,8.976559358,9.78846633,12.06790763
-45,-45,-15,1.5,-0.5,-2.5,1.798474865,5.054413013,7.565148232,6.500589227,3.657276444,2.737053525
-45,-45,-15,1.5,-0.5,1.5,4.00217919,4.233845848,5.655452597,4.41755195,3.36611719,4.704689905
-45,-45,-15,1.5,-0.5,5.5,7.607143739,6.716086824,6.446655639,5.653404675,6.477932191,8.385206307
-45,-45,-15,1.5,-0.5,9.5,11.46778463,9.942306592,9.034138949,8.633079617,10.36468003,12.10857125
-45,-45,-15,1.5,1.5,-2.5,1.81300878,3.683357387,6.990478842,6.749695848,5.2745632,4.34876936
-45,-45,-15,1.5,1.5,1.5,4.025823671,2.766264064,4.888417668,4.894678577,5.106557978,5.787924178
-45,-45,-15,1.5,1.5,5.5,7.752049224,5.773978931,5.771018264,5.945571273,7.57670805,9.05175895
-45,-45,-15,1.5,1.5,9.5,12.10534138,9.622323794,8.883536534,8.750706035,10.96559911,12.61446522
-45,-45,15,-2.5,-2.5,-2.5,5.859984357,6.181968969,6.718479608,5.432012646,2.87490233,4.788706434
-45,-45,15,-2.5,-2.5,1.5,6.996180228,5.587600871,5.141985277,3.172795394,2.520930898,6.164717051
-45,-45,15,-2.5,-2.5,5.5,9.451045848,7.785121822,5.901097089,4.698043919,5.997974069,9.276252044
-45,-45,15,-2.5,-2.5,9.5,12.97002992,10.39616292,8.574149292,8.078189369,9.910497972,12.53909749
-45,-45,15,-2.5,-0.5,-2.5,5.407274049,4.887657145,5.618614869,4.837650201,3.199095036,5.313330393
-45,-45,15,-2.5,-0.5,1.5,6.426628892,4.2311924,3.045326983,1.284278215,2.863352594,6.483642056
-45,-45,15,-2.5,-0.5,5.5,9.517293181,6.657197125,4.318682128,3.614888956,6.268675114,9.4187479
-45,-45,15,-2.5,-0.5,9.5,12.95850701,10.16752631,7.619029693,7.561031361,9.899235547,12.80181176
-45,-45,15,-2.5,1.5,-2.5,5.852871175,4.21059472,4.955441924,4.786681355,4.576909685,6.190698181
-45,-45,15,-2.5,1.5,1.5,6.894965363,3.451093131,1.341931174,1.231146802,4.215650511,7.344884358
-45,-45,15,-2.5,1.5,5.5,9.687548745,6.181869354,3.398178084,3.502916503,6.846648951,9.724555983
-45,-45,15,-2.5,1.5,9.5,13.19596819,9.949444598,7.20370947,7.564973353,10.51813868,13.45187567
-45,-45,15,-0.5,-2.5,-2.5,3.989805801,5.395248528,7.197928619,6.336066003,2.291562749,2.673104856
-45,-45,15,-0.5,-2.5,1.5,5.2672195,4.685810869,5.323844058,3.949924194,1.828693359,4.784733053
-45,-45,15,-0.5,-2.5,5.5,8.646422044,7.078411002,6.337072505,5.274442128,5.645129389,8.005208095
-45,-45,15,-0.5,-2.5,9.5,12.46344123,10.02599266,8.898212597,8.356510861,10.11830359,12.16139163
-45,-45,15,-0.5,-0.5,-2.5,3.442665326,3.876130361,5.996013572,5.341422587,2.663631814,3.334196827
-45,-45,15,-0.5,-0.5,1.5,5.028938206,2.932849883,3.513663118,2.798204588,2.253102602,5.13206663
-45,-45,15,-0.5,-0.5,5.5,8.491835895,5.89429847,4.760489679,4.279103507,6.02067944,8.653663322
-45,-45,15,-0.5,-0.5,9.5,12.07993976,9.514004666,7.800912888,7.810233098,9.775030371,12.25358715
-45,-45,15,-0.5,1.5,-2.5,4.097346679,3.00618373,5.361827715,5.269671069,4.19247353,4.811594488
-45,-45,15,-0.5,1.5,1.5,5.421614685,1.8236001,2.177172951,2.681671228,3.992630829,6.298054677
-45,-45,15,-0.5,1.5,5.5,8.551472836,5.472747197,3.70970497,4.331371744,6.853871601,8.989605339
-45,-45,15,-0.5,1.5,9.5,12.50565362,9.576319138,7.425506549,8.061011073,10.35834148,12.54956151
-45,-45,15,1.5,-2.5,-2.5,2.370720887,5.252856282,8.009570764,7.141402832,3.223056441,0.76034382
-45,-45,15,1.5,-2.5,1.5,4.372291952,4.561765974,6.226969793,5.356701519,2.880143402,3.93188158
-45,-45,15,1.5,-2.5,5.5,7.845688305,6.933427138,6.91238534,6.295046936,6.258163474,7.910784047
-45,-45,15,1.5,-2.5,9.5,11.95176579,10.45621277,9.516464851,9.224631643,10.11217919,12.1155458
-45,-45,15,1.5,-0.5,-2.5,1.51226384,3.846407747,6.834741197,6.496208611,3.5661604,2.118447178
